STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,TOTAL ELECTORS,TOTAL VOTING,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY
Uttar Pradesh,Ghosi,dr. arvind rajbhar,0,SBSP,Walking stick,MALE,1.0,35.0,GENERAL,Doctorate,"Rs 1,10,91,428~ 1 Crore+","Rs 9,58,183~ 9 Lacs+",339416,772,340188,2090637,1147072,16.27,29.66
Uttar Pradesh,Ghosi,balkrishna chauhan,0,BSP,Elephant,MALE,0.0,75.0,GENERAL,Post Graduate,"Rs 87,87,078~ 87 Lacs+",Rs 0~,208938,466,209404,2090637,1147072,10.02,18.26
Uttar Pradesh,Ghosi,lilawati rajbhar,0,MOSP,Hockey and ball,FEMALE,0.0,45.0,GENERAL,Graduate,"Rs 44,26,350~ 44 Lacs+","Rs 16,00,000~ 16 Lacs+",47520,7,47527,2090637,1147072,2.27,4.14
Uttar Pradesh,Ghosi,pawan kumar chauhan,0,IND,Scissors,MALE,0.0,31.0,GENERAL,Others,"Rs 12,85,000~ 12 Lacs+","Rs 80,000~ 80 Thou+",7067,10,7077,2090637,1147072,0.34,0.62
Uttar Pradesh,Ghosi,vinod kumar rai,0,CPI,Ears of corn and sickle,MALE,3.0,67.0,GENERAL,Graduate,"Rs 82,36,962~ 82 Lacs+","Rs 40,000~ 40 Thou+",6987,6,6993,2090637,1147072,0.33,0.61
Uttar Pradesh,Ghosi,roli gupta,0,ABHSP,Cot,FEMALE,0.0,34.0,GENERAL,8th Pass,"Rs 53,24,000~ 53 Lacs+","Rs 1,80,000~ 1 Lacs+",4211,14,4225,2090637,1147072,0.2,0.37
Uttar Pradesh,Ghosi,virendra,0,RJBVP,Table,MALE,0.0,63.0,SC,12th Pass,"Rs 7,15,000~ 7 Lacs+",Rs 0~,2344,3,2347,2090637,1147072,0.11,0.2
Uttar Pradesh,Ghosi,vijay,0,SUCI,Battery Torch,MALE,0.0,47.0,SC,Graduate Professional,"Rs 13,65,000~ 13 Lacs+",Rs 0~,2240,1,2241,2090637,1147072,0.11,0.2
Uttar Pradesh,Ghosi,awadhesh kumar chauhan,0,JANKRPR,Box,MALE,0.0,52.0,GENERAL,12th Pass,"Rs 32,81,900~ 32 Lacs+",Rs 0~,2211,28,2239,2090637,1147072,0.11,0.2
Uttar Pradesh,Ghosi,satish chand prajapati fauji,0,SMJDRP,Gas cylinder,MALE,1.0,57.0,GENERAL,12th Pass,"Rs 91,45,000~ 91 Lacs+","Rs 2,50,000~ 2 Lacs+",1918,3,1921,2090637,1147072,0.09,0.17
Uttar Pradesh,Ghosi,madan rajbhar,0,MNGSMJP,Bat,MALE,0.0,51.0,GENERAL,Graduate,"Rs 15,88,000~ 15 Lacs+",Rs 0~,1895,10,1905,2090637,1147072,0.09,0.17
Uttar Pradesh,Ghosi,saudager,0,IND,Auto- rickshaw,MALE,0.0,40.0,GENERAL,5th Pass,"Rs 15,22,000~ 15 Lacs+","Rs 13,000~ 13 Thou+",1892,0,1892,2090637,1147072,0.09,0.16
Uttar Pradesh,Ghosi,rajendra ram,0,IND,Coat,MALE,1.0,63.0,SC,Post Graduate,"Rs 4,00,34,033~ 4 Crore+",Rs 0~,1649,0,1649,2090637,1147072,0.08,0.14
Uttar Pradesh,Ghosi,yakub ansari,0,PECP,Glass tumbler,MALE,0.0,33.0,GENERAL,Graduate,Unknown,Unknown,1568,5,1573,2090637,1147072,0.08,0.14
Uttar Pradesh,Ghosi,prem chand,0,PMSP,Ganna kisan,MALE,0.0,29.0,GENERAL,Graduate Professional,"Rs 26,50,904~ 26 Lacs+",Rs 0~,1559,2,1561,2090637,1147072,0.07,0.14
Uttar Pradesh,Ghosi,santosh kumar gupta,0,JNLKVKSP,Apple,MALE,0.0,42.0,GENERAL,Post Graduate,"Rs 1,77,04,591~ 1 Crore+",Rs 0~,1473,0,1473,2090637,1147072,0.07,0.13
Uttar Pradesh,Ghosi,jyotirma pathak,0,IND,Kettle,FEMALE,0.0,39.0,GENERAL,Post Graduate,"Rs 97,68,780~ 97 Lacs+","Rs 10,00,000~ 10 Lacs+",1199,5,1204,2090637,1147072,0.06,0.1
