Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State
2024,6915,1758,Shahriar Alam,DARJEELING,SUCI(C),0,Graduate Professional,,,,West Bengal
2024,6916,5725,Shaik Ajjulu,KHAMMAM,IND,0,Others,"Rs 1,35,000~ 1 Lacs+",Rs 0~,,Telangana
2024,6917,6144,Shaik Aslam Akther,GUNTUR,IND,0,Graduate,"Rs 31,07,222~ 31 Lacs+","Rs 2,30,000~ 2 Lacs+",,Andhra Pradesh
2024,6918,5712,Shaik Baji Baba,KHAMMAM,IND,0,Post Graduate,"Rs 6,99,000~ 6 Lacs+",Rs 0~,,Telangana
2024,6919,5477,Shaik Basha,HYDERABAD,Dalita Bahujana Party,0,12th Pass,"Rs 5,34,628~ 5 Lacs+",Rs 0~,,Telangana
2024,6920,6632,Shaik Basheed,RAJAMPET,INC,0,Graduate,,,,Andhra Pradesh
2024,6921,8193,Shaik Jaleel,CHANDNI CHOWK,Navarang Congress Party,6,5th Pass,"Rs 8,70,11,546~ 8 Crore+",Rs 0~,,NCT OF Delhi
2024,6922,5711,Shaik Khaleel Pasha,KHAMMAM,IND,0,10th Pass,"Rs 98,33,000~ 98 Lacs+","Rs 21,54,055~ 21 Lacs+",,Telangana
2024,6923,6687,Shaik Mahaboob Basha (Mabu),NELLORE,Republican Party of India (A),0,Graduate Professional,"Rs 44,00,000~ 44 Lacs+",Rs 0~,,Andhra Pradesh
2024,6924,5703,Shaik Mohmed Rasool,KHAMMAM,IND,0,Graduate,"Rs 36,59,778~ 36 Lacs+","Rs 9,35,000~ 9 Lacs+",,Telangana
2024,6925,6683,Shaik Muzibur Rahaman,NELLORE,Pyramid Party of India,0,Graduate,,,,Andhra Pradesh
2024,6926,6685,Shaik Shafi Ahmed,NELLORE,All India Forward Bloc,1,8th Pass,"Rs 52,600~ 52 Thou+","Rs 21,290~ 21 Thou+",,Andhra Pradesh
2024,6927,5730,Shaik Sirajuddin,KHAMMAM,IND,1,Post Graduate,"Rs 50,000~ 50 Thou+","Rs 25,000~ 25 Thou+",,Telangana
2024,6928,6138,Shaik. Khajavali,GUNTUR,IND,1,8th Pass,"Rs 17,30,000~ 17 Lacs+",Rs 0~,,Andhra Pradesh
2024,6929,5908,Shaik.Nizam,ANANTHAPUR,SP,0,5th Pass,"Rs 24,43,333~ 24 Lacs+",Rs 0~,,Andhra Pradesh
2024,6930,6939,Shaikh Aabid Shaikh Bashir,RAVER,IND,0,8th Pass,,,,Maharashtra
2024,6931,8573,Shaikh Akhiruddin,JAMSHEDPUR,Bahujan Maha Party,0,5th Pass,"Rs 15,12,100~ 15 Lacs+",Rs 0~,,Jharkhand
2024,6932,6517,Shaikh Ejaj Shaikh Umar,BEED,IND,0,12th Pass,"Rs 5,25,000~ 5 Lacs+",Rs 0~,,Maharashtra
2024,6933,6970,Shaikh Khaja Kismatwala Kasim Kismatwala,AURANGABAD,IND,0,8th Pass,"Rs 14,59,000~ 14 Lacs+","Rs 30,000~ 30 Thou+",,
2024,6934,7236,Shaikh Mohammad Zaid Shamim Ahmed,DHULE,Welfare Party Of India,0,12th Pass,"Rs 4,03,300~ 4 Lacs+",Rs 0~,,Maharashtra
2024,6935,4938,Shaikh Naushad Iqbal,OSMANABAD,Swarajya Shakti Sena,0,12th Pass,,,,Maharashtra
2024,6936,2426,Shaikh Saleem Shaikh Ibrahim,PARBHANI,All India Majlis-E-Inquilab-E-Millat,1,8th Pass,"Rs 50,000~ 50 Thou+",Rs 0~,,Maharashtra
2024,6937,4818,Shaikh Soyalshaha Yunusshaha,BARAMATI,IND,0,Others,"Rs 1,86,000~ 1 Lacs+","Rs 14,00,000~ 14 Lacs+",,Maharashtra
2024,6938,6519,Shaikh Tousif Abdul Sattar,BEED,IND,0,Post Graduate,"Rs 4,05,000~ 4 Lacs+",Rs 0~,,Maharashtra
2024,6939,6514,Shaikh Yashed Shaikh Tayyab,BEED,IND,0,Graduate Professional,"Rs 1,07,500~ 1 Lacs+",Rs 0~,,Maharashtra
2024,6940,3838,Shailendra Alias Sandeep Karanjawane,BARAMATI,IND,0,Graduate,,,,Maharashtra
2024,6941,8145,Shailendra Kumar,BASTI,Bharat Mahaparivar Party,0,Graduate,"Rs 20,00,715~ 20 Lacs+",Rs 0~,,Uttar Pradesh
2024,6942,7567,Shailendra Kumar,HAJIPUR,IND,0,12th Pass,"Rs 17,27,937~ 17 Lacs+","Rs 9,58,000~ 9 Lacs+",,Bihar
2024,6943,6454,Shailendra Kumar,KANNAUJ,Bharatiya Kisan Parivartan Party,1,Post Graduate,"Rs 8,11,300~ 8 Lacs+",Rs 0~,,Uttar Pradesh
2024,6944,7528,Shailendra Kumar Mishra,AMETHI,Sanyogwadi Party,0,12th Pass,"Rs 20,75,000~ 20 Lacs+","Rs 10,00,000~ 10 Lacs+",,Uttar Pradesh
2024,6945,1699,Shailesh Rahi,AURANGABAD,Akhil Hind Forward Bloc (Krantikari),0,10th Pass,,,,
2024,6946,4760,Shaileshbhai Vartha,DADAR & NAGAR HAVELI,IND,0,Post Graduate,"Rs 11,43,749~ 11 Lacs+","Rs 2,87,120~ 2 Lacs+",,Dadra & Nagar Haveli and Daman & Diu
2024,6947,4098,Shajahan Ali Khan,BARPETA,Voters Party International,0,12th Pass,"Rs 6,22,500~ 6 Lacs+",Rs 0~,,Assam
2024,6948,2142,Shajahan V.A. S/O Abdul Azees,ALAPPUZHA,IND,0,10th Pass,"Rs 13,55,000~ 13 Lacs+",Rs 0~,,Kerala
2024,6949,3153,Shaju Paliyodu,THIRUVANANTHAPURAM,IND,2,12th Pass,"Rs 81,50,110~ 81 Lacs+","Rs 25,000~ 25 Thou+",,Kerala
