Year,Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Constituency Type,State,Gender
2024,4467,6984,mohammed waliullah sameer,HYDERABAD,INC,4,12th Pass,"Rs 13,22,09,968~ 13 Crore+","Rs 1,69,46,041~ 1 Crore+",,Telangana,Male
2024,4468,3888,mohammed yusuf khan,SHIMOGA,Young Star Empowerment Party,0,5th Pass,"Rs 52,30,000~ 52 Lacs+",Rs 0~,,Karnataka,Male
2024,4469,4250,mohammedanish desai,GANDHINAGAR,BSP,0,Graduate Professional,"Rs 85,46,000~ 85 Lacs+",Rs 0~,,Gujarat,Male
2024,4470,3614,mohan,GUNA,IND,0,Graduate,,,,Madhya Pradesh,Male
2024,4471,7249,mohan baraku guhe,PALGHAR,Bharat Adivasi Party,0,Graduate Professional,"Rs 7,70,000~ 7 Lacs+","Rs 20,83,015~ 20 Lacs+",,Maharashtra,Male
2024,4472,6813,mohan goud j v,ONGOLE,IND,0,Literate,"Rs 98,830~ 98 Thou+",Rs 0~,,Andhra Pradesh,Male
2024,4473,3512,mohan gurappa motannavar,CHIKKODI,IND,0,Graduate Professional,"Rs 15,05,945~ 15 Lacs+","Rs 3,00,000~ 3 Lacs+",,Karnataka,Male
2024,4474,5365,mohan kumar maurya,UJIARPUR,BSP,0,12th Pass,"Rs 25,12,000~ 25 Lacs+",Rs 0~,,Bihar,Male
2024,4475,9068,mohan lal adhikary,BARASAT,IND,0,Graduate,,,,West Bengal,Male
2024,4476,8556,mohan lal badoli,SONIPAT,BJP,0,10th Pass,"Rs 16,30,89,024~ 16 Crore+","Rs 7,16,04,399~ 7 Crore+",,Haryana,Male
2024,4477,404,mohan lal meena,DAUSA,IND,0,Graduate,"Rs 7,98,000~ 7 Lacs+","Rs 76,000~ 76 Thou+",,Rajasthan,Male
2024,4478,576,mohan raut,BALAGHAT,Rashtravadi Bharat Party,0,10th Pass,"Rs 19,85,000~ 19 Lacs+",Rs 0~,,Madhya Pradesh,Male
2024,4479,7276,mohan sharma,MADHUBANI,Rashtriya Jansambhavna Party,0,12th Pass,"Rs 10,95,000~ 10 Lacs+",Rs 0~,,Bihar,Male
2024,4480,8470,mohan singh,DHANBAD,BSP,0,12th Pass,,,,Jharkhand,Male
2024,4481,9286,mohan singh,FIROZPUR,IND,0,Illiterate,"Rs 67,01,000~ 67 Lacs+","Rs 2,00,000~ 2 Lacs+",,Punjab,Male
2024,4482,985,mohan singh aswal,HARIDWAR,Uttarakhand Kranti Dal,0,Graduate,"Rs 2,65,000~ 2 Lacs+",Rs 0~,,Uttarakhand,Male
2024,4483,6669,mohanarao singuluri,RAJAHMUNDRY,Jai Bharat National Party,2,Post Graduate,"Rs 25,00,000~ 25 Lacs+","Rs 11,10,000~ 11 Lacs+",,Andhra Pradesh,Male
2024,4484,6433,mohansingh ningwal,RATLAM,Bhartiya Samajik Party,0,Post Graduate,"Rs 1,60,20,000~ 1 Crore+",Rs 0~,,Madhya Pradesh,Male
2024,4485,8423,mohar singh station master retd,AMBALA,IND,0,Graduate,,,,Haryana,Male
2024,4486,5506,mohd alauddin,MAHBUBNAGAR,BSP,0,Graduate Professional,"Rs 3,91,73,000~ 3 Crore+",Rs 0~,,Telangana,Male
2024,4487,757,mohd ali gujjar,UDHAMPUR,IND,0,Graduate,"Rs 30,05,601~ 30 Lacs+","Rs 14,20,000~ 14 Lacs+",,Jammu and Kashmir,Male
2024,4488,5806,mohd azher,MEDAK,IND,0,12th Pass,"Rs 38,50,000~ 38 Lacs+","Rs 4,00,000~ 4 Lacs+",,Telangana,Male
2024,4489,8199,mohd hamid,CHANDNI CHOWK,Bharatheeya Jawan Kisan Party,0,5th Pass,"Rs 1,70,084~ 1 Lacs+",Rs 0~,,NCT OF Delhi,Male
2024,4490,7525,mohd hasan lahri,AMETHI,Rashtriya Narayanwadi Vikas Party,0,8th Pass,,,,Uttar Pradesh,Male
2024,4491,910,mohd inam,SAHARANPUR,Akhil Bhartiya Parivar Party,0,12th Pass,"Rs 42,26,240~ 42 Lacs+","Rs 7,50,000~ 7 Lacs+",,Uttar Pradesh,Male
2024,4492,880,mohd jamshed,MORADABAD,IND,1,Post Graduate,"Rs 47,84,314~ 47 Lacs+",Rs 0~,,Uttar Pradesh,Male
2024,4493,917,mohd kadir,KAIRANA,IND,0,8th Pass,"Rs 30,54,000~ 30 Lacs+","Rs 4,00,000~ 4 Lacs+",,Uttar Pradesh,Male
2024,4494,3637,mohd kalim khan,SUPAUL,Rashtriya Jansambhavna Party,0,8th Pass,"Rs 7,43,000~ 7 Lacs+",Rs 0~,,Bihar,Male
2024,4495,7560,mohd naeem shaikh,MUMBAI SOUTH,Aim Political Party,1,12th Pass,,,,Maharashtra,Male
2024,4496,3707,mohd najim ali,BAREILLY,Bharat Jodo Party,1,10th Pass,"Rs 2,03,343~ 2 Lacs+",Rs 0~,,Uttar Pradesh,Male
2024,4497,7084,mohd saddam,ZAHIRABAD,IND,0,12th Pass,"Rs 4,43,500~ 4 Lacs+","Rs 4,02,240~ 4 Lacs+",,Telangana,Male
2024,4498,5451,mohd shakeel,CHEVELLA,Desh Janhit Party,0,Others,"Rs 8,96,487~ 8 Lacs+",Rs 0~,,Telangana,Male
2024,4499,4693,mohd waseem so mohd fareed,SAMBHAL,IND,0,Graduate Professional,"Rs 40,70,000~ 40 Lacs+",Rs 0~,,Uttar Pradesh,Male
2024,4500,6304,mohd yousuf bhat,SRINAGAR,Gana Suraksha Party,1,12th Pass,,,,Jammu and Kashmir,Male
2024,4501,7762,mohd. kaleem ansari,BHIWANDI,Peoples Party of India (Democratic),0,Graduate Professional,"Rs 1,36,17,000~ 1 Crore+",Rs 0~,,Maharashtra,Male
2024,4502,2510,mohd. mumtaj aalam,GAUTAM BUDDHA NAGAR,IND,0,8th Pass,"Rs 34,32,000~ 34 Lacs+",Rs 0~,,Uttar Pradesh,Male
