tweet_id,created_at,user_id,text,clean_text,hashtags,mentions,language,retweet_count,like_count,sentiment,polarity,subjectivity,party,state
1881264507181261017,2025-01-20 08:56:25+00:00,995328305279549440,"He's AAP, yes. I know. Heard it? Happy hearing I know?
Indian democracy is broader than Delhi elections. I'll focus on Congress's development in Delhi without ignoring his help in past and future general elections. I didn't expect Dhruv to be INC, nor do I expect him to only post… https://t.co/Tne6157p5z https://t.co/e0ZcSgLAl9","hes aap yes i know heard it happy hearing i know
indian democracy is broader than delhi elections ill focus on congresss development in delhi without ignoring his help in past and future general elections i didnt expect dhruv to be inc nor do i expect him to only post  ",[],[],en,0,0,Unknown,0,0,Unknown,Unknown
1881264503352070483,2025-01-20 08:56:24+00:00,926513760923107328,@cryptoamanclub Aap bhi Official aman meme coin bana do, aap bhi official aman meme coin bana do,[],['cryptoamanclub'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264492124033400,2025-01-20 08:56:21+00:00,1421072389400453126,@_amitbehere Interesting analysis and equally intriguing is the fact that no congress leader has faced such hostile conditions ., interesting analysis and equally intriguing is the fact that no congress leader has faced such hostile conditions ,[],['_amitbehere'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264461392359713,2025-01-20 08:56:14+00:00,1244269545675583489,"So for anybody who defends Israel, how do you defend this pedophile rule? Like most of Congress does. https://t.co/p5tf49hQzy",so for anybody who defends israel how do you defend this pedophile rule like most of congress does ,[],[],en,0,0,Unknown,0,0,Unknown,Unknown
1881264452626219251,2025-01-20 08:56:12+00:00,1681371370830307334,"@bindass_ladki I condemn this ..momos are very harmful for a very ill person like kejriwal( describe in his jail term), hes trying to make him sick , BJP ka band hai ye 😂😂", i condemn this momos are very harmful for a very ill person like kejriwal describe in his jail term hes trying to make him sick  bjp ka band hai ye ,[],['bindass_ladki'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264448473858339,2025-01-20 08:56:11+00:00,1870838696892616705,@visshnumittal Big salute to the Kho Kho team for their victory! 🙌🏆 BJP’s initiatives like Khelo India are turning dreams into reality. 💙🇮🇳 #KhoKhoVictory #BJPForAthletes #IndiaRising, big salute to the kho kho team for their victory  bjps initiatives like khelo india are turning dreams into reality  khokhovictory bjpforathletes indiarising,"['KhoKhoVictory', 'BJPForAthletes', 'IndiaRising']",['visshnumittal'],en,0,0,Unknown,0,0,Unknown,Unknown
1881264430102859874,2025-01-20 08:56:06+00:00,2555286540,@ImtiyazaliINC @INCDelhi @INCIndia @ajaymaken @qazinizamuddin @LambaAlka @NayakRagini @kcvenugopalmp @Deepakkhatri812 @SupriyaShrinate Congress for Delhi people,          congress for delhi people,[],"['ImtiyazaliINC', 'INCDelhi', 'INCIndia', 'ajaymaken', 'qazinizamuddin', 'LambaAlka', 'NayakRagini', 'kcvenugopalmp', 'Deepakkhatri812', 'SupriyaShrinate']",en,0,0,Unknown,0,0,Unknown,Unknown
1881264417842811031,2025-01-20 08:56:04+00:00,1825199252231913472,@KALKI_SENAA_ @Jitendr33062168 @lala_pandi27801 @ArunKosli @voice_of_hindu2 @Uppolice @dgpup @moradabadpolice @DMMoradabad @spgrpmoradabad @namrtaqueen @drpappuchikna03 @Bebak_ladki0 @AvkushSingh @bhimtokabap_13 Modi -bjp  ka paid worker,               modi bjp  ka paid worker,[],"['KALKI_SENAA_', 'Jitendr33062168', 'lala_pandi27801', 'ArunKosli', 'voice_of_hindu2', 'Uppolice', 'dgpup', 'moradabadpolice', 'DMMoradabad', 'spgrpmoradabad', 'namrtaqueen', 'drpappuchikna03', 'Bebak_ladki0', 'AvkushSingh', 'bhimtokabap_13']",en,0,0,Unknown,0,0,Unknown,Unknown
1881264402537800035,2025-01-20 08:56:00+00:00,3022661970,@ArvindKejriwal Neutral dog promoted AAP Propaganda like no one else. https://t.co/6mZr9nDIDu, neutral dog promoted aap propaganda like no one else ,[],['ArvindKejriwal'],en,0,1,Unknown,0,0,Unknown,Unknown
1881264401757733311,2025-01-20 08:56:00+00:00,1858493805756022785,"Police Arresting Farmers for Opposing Mining

Women farmers take to the streets with liquor bottles in protest.
 Nagarkurnool district, Balmur Mandal, Mailaram village, police have arrested villagers and farmers illegally.

#congress #revanthreddy  #brsparty #bjptelangana https://t.co/mLw4Hhmrst","police arresting farmers for opposing mining

women farmers take to the streets with liquor bottles in protest
 nagarkurnool district balmur mandal mailaram village police have arrested villagers and farmers illegally

congress revanthreddy  brsparty bjptelangana ","['congress', 'revanthreddy', 'brsparty', 'bjptelangana']",[],en,0,0,Unknown,0,0,Unknown,Unknown
1881264399257919994,2025-01-20 08:55:59+00:00,1693819453941952512,"The Third Session of the 14th Shandong Provincial People's Congress opened in Jinan on January 20. The government work report pointed out in 2024, Shandong achieved a total GDP of 9.86 trillion yuan, an increase of 5.7%, 0.7 percentage points higher than the national average. https://t.co/aWJwDyBzlh",the third session of the 14th shandong provincial peoples congress opened in jinan on january 20 the government work report pointed out in 2024 shandong achieved a total gdp of 986 trillion yuan an increase of 57 07 percentage points higher than the national average ,[],[],en,0,0,Unknown,0,0,Unknown,Unknown
1881264394027540860,2025-01-20 08:55:58+00:00,1836984202958389248,@tedcruz A civics and an economics exam should be given to all of Congress.  Don't get me started on the annual IRS audit they should go through...., a civics and an economics exam should be given to all of congress  dont get me started on the annual irs audit they should go through,[],['tedcruz'],en,0,0,Unknown,0,0,Unknown,Unknown
