iter	Passed	Remaining
969	15547	480
970	15563	464
971	15580	448
972	15597	432
973	15614	416
974	15630	400
975	15647	384
976	15663	368
977	15680	352
978	15696	336
979	15714	320
980	15731	304
981	15750	288
982	15767	272
983	15782	256
984	15798	240
985	15813	224
986	15829	208
987	15845	192
988	15861	176
989	15876	160
990	15892	144
991	15908	128
992	15925	112
993	15943	96
994	15960	80
995	15977	64
996	15993	48
997	16010	32
998	16028	16
999	16043	0
